Mat,number,ZIII,ZV,MassIII,MassV,Etot,Eg,Mass Total,a,h,d(Mx),ZIII**2,ZV**2,(ZIII+ZV)**2,ZIII**3/2,ZV**3/2,(ZIII+ZV)**3/2,ZIII**5/2,ZV**5/2,(ZIII+ZV)**5/2,ZIII**16/10,ZV**16/10,(ZIII+ZV)**16/10,ZIII**17/10,ZV**17/10,(ZIII+ZV)**17/10,ZIII**18/10,ZV**18/10,(ZIII+ZV)**18/10,ZIII**19/10,ZV**19/10,(ZIII+ZV)**19/10,ZIII**21/10,ZV**21/10,(ZIII+ZV)**21/10,ZIII**22/10,ZV**22/10,(ZIII+ZV)**22/10,ZIII**23/10,ZV**23/10,(ZIII+ZV)**23/10,ZIII**24/10,ZV**24/10,(ZIII+ZV)**24/10,dEsKc,dEsKv,Egsoc,dEsGv
BN,0,5,7,10.811,14.00674,-39.86456371,4.2574,24.81774,2.515341294,6.98E-05,1.452232975,25,49,144,11.1803,18.5202,41.5692,55.9016,129.6418,498.8306,13.1326,22.4986,53.2954,15.4258,27.3317,68.3294,18.1194,33.2029,87.6044,21.28349,40.3353,112.3167,29.3654,59.5258,184.6207,34.4932,72.3128,236.7002,40.5164,87.8467,303.4707,47.5913,106.7174,389.0764,0,0,4.2573,0.0131
AlN,1,13,7,26.981539,14.00674,-67.8514234,2.8788,40.988279,3.131501483,0.000102122,1.807973227,169,49,400,46.8721,18.5202,89.4427,609.3381,129.6418,1788.854,60.5772,22.4986,120.6835,78.2895,27.3317,162.836,101.1807,33.2029,219.7121,130.7652,40.335,296.453,218.414,59.5258,539.713,282.276,72.3128,728.225,364.8124,87.8467,982.5824,471.4808,106.7174,1325.7816,0,0,2.8785,0.0155
BP,2,5,15,10.811,30.973762,-67.00102839,0.8999,41.784762,3.214497223,0.00166679,1.855891585,25,225,400,11.1803,58.0947,89.4427,55.9016,871.4212,1788.854,13.1326,76.1633,120.683,15.4258,99.8516,162.8362,18.1194,130.9074,219.7121,21.2834,171.622,296.453,29.3654,294.9793,539.713,34.4932,386.7236,728.225,40.516,507.0022,982.5824,47.5913,664.6898,1325.7816,0.0001,0.0001,0.902,0.0295
AlP,3,13,15,26.981539,30.973762,-95.05350223,2.3118,57.955301,3.939925821,0.000803628,2.274717375,169,225,784,46.8721,58.0947,148.162,609.3381,871.4212,4148.538,60.5772,76.1633,206.7534,78.2895,99.8516,288.5151,101.1807,130.90742,402.6099,130.76525,171.6221,561.8239,218.4142,294.9793,1094.0366,282.2769,386.7236,1526.6787,364.8124,507.0022,2130.4113,471.4808,664.6898,2972.8929,0.0001,0.0001,2.3116,0.04
GaN,4,31,7,69.732,14.00674,-306.1577008,2.1697,83.73874,3.209251814,0.002983702,1.852864801,961,49,1444,172.6006,18.5202,234.2477,5350.621,129.6418,8901.413,243.3205,22.4986,337.0185,343.0163,27.3317,484.8775,483.5607,33.2029,697.6064,681.6904,40.3353,1003.6651,1354.75124,59.5258,2077.5216,1909.8344,72.3128,2988.9862,2692.3523,87.8467,4300.3348,3795.4918,106.7174,6187.0073,0.0011,0.0071,2.1665,0.0117
BAs,5,5,33,10.811, 74.92159,-187.3954594,0.7704,85.73259,3.391692975,0.005848,1.958203585,25,1089,1444,11.1803,189.5705,234.2477,55.9016,6255.82,8901.413,13.1326,268.9195,337.0185,15.4258,381.4816,484.8775,18.1194,541.1592,697.6064,21.2834,767.6733,1003.6651,29.3654,1544.8249,2077.5216,34.4932,2191.4454,2988.9862,40.5164,3108.7232,4300.3348,47.5913,4409.9478,6187.0073,0,0.002,0.7735,0.1491
GaP,6,31,15,69.732,30.973762,-333.460828,1.721,100.705762,3.888211274,0.403505202,2.28083583,961,225,2116,172.6006,58.0947,311.9871,5350.621,871.4212,14351.41,243.3205,76.1633,457.5225,343.0163,99.8516,670.9471,483.5607,130.9074,983.9297,681.6904,171.6221,1442.9121,1354.7512,294.9793,3103.0690,1909.8344,386.7236,4550.5849,2692.3523,507.0022,6673.3363,3795.4918,664.6898,9786.3061,0.0046,0.0068,1.7188,0.0716
AlAs,7,13,33,26.981539,74.92159,-215.4914176,1.6729,101.903129,4.065527437,0.446500692,2.38932361,169,1089,2116,46.8721,189.5707,311.9871,609.3381,6255.82,14351.41,60.5772,268.9195,457.5225,78.2895,381.4816,670.9471,101.1807,541.1592,983.9297,130.7652,767.6733,1442.9121,218.4142,1544.8249,3103.0690,282.2769,2191.4454,4550.5849,364.8124,3108.7232,6673.3363,471.4808,4409.9478,9786.3061,0.0149,0.0036,1.6735,0.1812
InN,8,49,7,114.818,14.00674,-438.9031872,0.5732,128.82474,3.586333168,0.00285435,2.070572387,2401,49,3136,343,18.5202,419.0656,16807,129.6418,23467.67,506.1901,22.4986,626.7593,747.0219,27.3317,937.3885,1102.4348,33.2029,1401.9691,1626.9438,40.3353,2096.8011,3543.3313,59.5258,4690.2377,5229.1533,72.3128,7014.7736,7717.0441,87.8467,10491.3762,11388.6066,106.7174,15691.0232,0.009,0.015,0.5696,0.0176
BSb,9,5,51,10.811,121.76,-359.0009106,0.3279,132.571,3.736261411,0.028927012,2.157325477,25,2601,3136,11.1803,364.2128,419.0656,55.9016,18574.85,23467.67,13.1326,539.6501,626.7593,15.4258,799.5935,937.3885,18.1194,1184.7489,1401.9691,21.2834,1755.4292,2096.8011,29.3654,3853.8727,4690.2377,34.4932,5710.2403,7014.7736,40.5164,8460.7995,10491.3762,47.5913,12536.2724,15691.0232,0.0095,0.0142,0.3287,0.2811
